Month-Yr,GC MP 1 Mn.+,Subway Total,Dominos Total,McDonalds Total,KFC Total,Pizza Hut Total
Jan - 2011,15289,203,471,654,468,593
Feb - 2011,15030,244,273,385,398,0
Mar - 2011,19833,0,222,384,31,0
Apr - 2011,21792,0,1109,950,620,259
May - 2011,29669,0,935,292,548,676
Jun - 2011,28852,311,1224,503,690,20
Jul - 2011,31174,305,552,638,498,0
Aug - 2011,33426,0,318,336,290,577
Sep - 2011,25033,0,733,118,533,393
Oct - 2011,30053,0,748,216,267,17
Nov - 2011,23005,0,954,131,496,237
Dec - 2011,25371,0,998,127,700,14
Jan - 2012,23652,729,1356,2039,495,1019
Feb - 2012,22436,208,437,649,889,44
Mar - 2012,29107,247,515,66,932,4
Apr - 2012,29313,235,1280,1764,631,169
May - 2012,33965,0,922,591,455,804
Jun - 2012,36652,474,618,627,406,278
Jul - 2012,35352,228,878,450,773,668
Aug - 2012,41633,0,648,1310,465,249
Sep - 2012,33616,18,1307,470,642,455
Oct - 2012,32491,289,1624,1049,205,496
Nov - 2012,29597,60,1345,820,691,266
Dec - 2012,30298,0,1516,240,876,598
Jan - 2013,23708,0,1271,150,453,418
Feb - 2013,22319,473,734,106,776,118
Mar - 2013,30578,78,402,0,1022,314
Apr - 2013,32557,0,948,716,912,309
May - 2013,39689,0,1107,1040,408,1198
Jun - 2013,39949,339,539,1110,833,499
Jul - 2013,36080,137,1774,698,1119,470
Aug - 2013,39028,0,1509,962,197,526
Sep - 2013,30683,96,1449,676,600,166
Oct - 2013,29187,358,1773,34,416,551
Nov - 2013,26967,466,1572,0,436,7
Dec - 2013,27484,116,1817,42,824,401
Jan - 2014,32364,0,1501,1184,955,790
Feb - 2014,24336,551,678,1235,941,867
Mar - 2014,31407,421,879,547,723,775
Apr - 2014,31969,0,1019,1875,1019,307
May - 2014,37204,285,1832,835,755,738
Jun - 2014,38384,550,1154,1297,946,1344
Jul - 2014,36614,73,1319,480,796,0
Aug - 2014,39481,0,1369,1085,361,1347
